,text,username,emoji,t_luggages,t_flight_delays,t_flight_bookings,t_club,t_customer_service,t_in-flight,t_seatings,f_enquiry,f_compliment,f_complaint,f_info,s_positive,s_negative,s_neutral
1101,Thank you so much for shedding light on this .... Flight Attendants work hard during boarding and deserve to get paid $$$,labellem76,,,,,,,,,,,,,,,
1102,But over anything ... remember Fury vs Wilder might not even happen .... in the words of Hearn,lukeroach07,,,,,,,,,,,,,,,
1103,@British_Airways trying to book an urgent flight but keep getting errors when trying to pay. Your support line is blocked. What is going on??,callumlufc87,,,,1,,,,,,,1,,,1,
1104,We explain why so many @SouthwestAir Aircraft Maintenance Technicians whistleblowers citing safety issues have come forward over the past two years - and what happens after they do: https://medium.com/@AMFANational/why-whistleblowers-come-forward-and-what-happens-next-6e8de1d01ae0 …,AMFANational,,,,,,,,,,,,,,,
1105,Yes at midnight. Hopefully they find it and it shows up today.,wazAviator,,,,,,,,,,,,,,,
1106,". @Delta maybe you're unaware, but the story being reported by local media is a TSA committed suicide by jumping off the balcony of the Hyatt at OIA. My wife may need a new flight, but right now they need personal on the ground to help direct traffic.",MattGetsMad,,,,,,,,,,,,,,,
1107,GET HER SIS,GadsbyLuke,,,,,,,,,,,,,,,
1108,3rd flight in a week I’ve been on @AmericanAir with no power outlets. How can this be?! What gives?! You’re making record profits!,Bookworm_99,,,,,,,1,,,,1,,,1,
1109,What the H is this?,Ilias__G,,,,,,,,,,,,,,,
1110,No Asia connections for Portland passengers at Haneda. Please start a nonstop Portland-Seoul flight as well. Need to make connections to Asia via JV partner Korean Air.,steve97070,,,,,,,,,,,,,,,
1111,See u maybe tomorrow Kevin. BUT NOT IF @AmericanAir HAS ANYTHING TO DO WITH IT (pls don’t cancel any of my flights again American I can’t afford this emotional destruction),sumsumc13,,,,1,,,,,,,1,,,1,
1112,I went from no flights booked in January to being booked every week and every wkend! 16 segments in one months! Who DOES that Treat me right @AmericanAir,MizzHappy1,🤦🏽‍♀️ 🤦🏽‍♀️ 🤦🏽‍♀️,,,1,,,,,,,,,,,
1113,BEWARE of FLYING now. @UnitedAirElite @AmericanAir @Delta @SpiritAirlines @JetBluehttps://twitter.com/mateagold/status/1083551752681607168?s=21 …,TapestryofPeace,,,,,,,,,,,,,,,
1114,@British_Airways are you serious? Are you really that anti- cyclist? Happy to take my business elsewhere.,geordieromer,,,,,,,,,,,1,,,1,
1115,Not a bad idea Chris. Concourse F is a pretty nice one. I'm a big fan of ATL airport. F is for funny. That's how @Delta could advertise it. https://twitter.com/cgatlanta/status/1105944836090327040 …,_TomRhodes,,,,,,,,,,,,,,,
1116,@SouthwestAir flight from New Orleans leaves at 11:25am. We aren’t even off the ground in DAL yet. Multiple delays and very slow process all morning.,32Amanda,,,1,,,,,,,,1,,,1,
1117,"It’s airport time again, this time going to #instanbul from @HeathrowAirport with @British_Airways . I try to avoid flying out on Monday mornings but it’s not to bad here really",Phillwe,,,,,,,,,,,,,,,
1118,just sent via DM. please check. thanks.,chaisuifah,,,,,,,,,,,,,,,
1119,"Nothing like lie flat Flagship First... even if it’s just JFK-DCA Thanks, @AmericanAir – I’ll take this any time!!",mavieerrante,😂 😂,,,,,,1,,,1,,,1,,
1120,"Think @British_Airways should rethink their slogan ""To Fly. To Serve"" as they seem to be failing on both counts pic.twitter.com/ICL6WZa5Cq",LestSel,,,,,,,,,,,1,,,1,
1121,Rounding the corner on 75 MINUTES (and MANY false starts) and still no checked baggage at BWI @SouthwestAir #Flt2839,KatrinTheWonk,🤦🏼‍♀️ 🤦🏼‍♀️ 🤦🏼‍♀️,1,,,,,,,,,1,,,1,
1122,Need flights out of ONT,Ocat_Nesnah,,,,,,,,,,,,,,,
1123,Are we going to be the only country in the world? Be responsable @AmericanAir @SouthwestAir ! #shamehttps://twitter.com/nbcnews/status/1105862101107728385 …,ArmandoCorrea,,,,,,,,,,,,,,1,
1124,Sure lol that still doesn’t answer my question. What is the status of flight 609 or 0609 leaving out of lga airport,guccidatt,,,,,,,,,,,,,,,
1125,"@AmericanAir just FYI, I can screen shot/record your inflight media player (major copyright concern) and the player doesn’t respond to any Bluetooth controls (ie play/pause controller from bt headphones) on your iOS app. Might wanna update the app to fix that...",LombaxMetal,,,,,,,1,,,,1,,,1,
1126,"American Airlines and Hyatt Hotels Corporation announced plans to provide frequent travelers more ways to earn miles, points and status when they fly with American or stay at Hyatt #travel #news #corporatenewsindia @Hyatt @AmericanAir https://www.newsbarons.com/travel-tourism/american-airlines-and-hyatt-announce-enhanced-loyalty-benefits/ …",NewsBarons,,,,,1,,,,,,,1,,,1
1127,I’m getting text updates from @AmericanAir about a flight I’m not on today. pic.twitter.com/Wz9r59zXhp,cursedthing,,,,1,,,,,,,,1,,,1
1128,Hey @AmericanAir I booked a DC trip and entered the wrong return date. I am now stuck in DC two days beyond my need to be in town. Booked economy via @Hotwire and am told I am not able to change return date is your policy. Is this as good as it gets? #CustServpic.twitter.com/D9YyycmDhw,2healthguru,,,,1,,1,,,,,1,,,1,
1129,@AmericanAir fix your dang app! I. Ant pay to upgrade a seat because it keeps showing an app error! Never seen a company so determined not to take my money! Horrible airlines!,Spartans_Den,,,,1,,,,,,,1,,,1,
1130,The account you tagged isn't the real Bubba Sparxx and their profile picture is of DJ Khalid. Come on. The real account is @TheRealBubbaK.,JMonsewicz,,,,,,,,,,,,,,,
