,text,username,emoji,t_luggages,t_flight_delays,t_flight_bookings,t_club,t_customer_service,t_in-flight,t_seatings,f_enquiry,f_compliment,f_complaint,f_info,s_positive,s_negative,s_neutral
140,"Due to your cancellations I've lost my entire last day of vacation. Customer service has been incredibly unhelpful. Due to your issue, my vacation is screwed and I'm boarding position C40. How will you be making this up to me as a customer?",landsboom,,,1,,,,,,,,1,,,1,
141,"Brilliant, @british_airways just canceled my flight for tomorrow to LHR to get to @cpponsea ! The text came 18:05, hot line closed at 18:00. They offered me an alternative Saturday evening, car rental and hotel reservation do not matter. Any suggestions?",Andreas__Fertig,,,1,,,,,,,,1,,,1,
142,"@AmericanAir - funny thing, on AA547 from PHL to SFO, all aboard but pilot is missing and the first officer says plane was configured to go to JAX.",ManiSw82,😀,,,,,,,,,,1,,,1,
143,@united is the worst airline my flight ti Newark it was at 6am and I'm still here in DC I lost my connection to Mexico City. They don't give any option that's why I prefer to fly with @Delta,LuisHernan12,,,1,,,,,,,,1,,,1,
144,Can’t believe how unhelpful @British_Airways have been. Worst customer service ever. #britishairways,marcgeefinch,,,,,,1,,,,,1,,,1,
145,@Delta flight 2037 delayed again. So many different reasons given.,WardBowman,,,1,,,,,,,,1,,,1,
146,it has been travel hell for most. I was only delayed 3 hours. there was a flight at omaha @Delta the was supposed to leave at 7:00am. But because of maintanence issues... they were still there waiting as I was boarding at 9pm. #whew #notme,lexvball2,,,1,,,,,,,,1,,,1,
147,This tweet is aggressive,AndyLaBarre,,,,,,,,,,,,,,,
148,Excuse me @AmericanAir ? pic.twitter.com/tHQNtK5Fa2,Phephelive,,,,,,,,,,,1,,,1,
149,"@SouthwestAir You pride yourself w/ #SouthwestHeart but I don’t feel it at all. Spent 2-3 hrs to just get hung up on without getting an answer at all. We have a family wedding in Nashville, TN and need to get there ASAP! Please help!!",kaneseeley,,,,,,1,,,,,1,,,1,
150,Encountering the same thing. Had to book thru another airline to get to destination & again to get home. On hold w/their corporate office to see how they’ll handle/resolve the issue. Current hold time is 55 minutes . Will NEVER fly @SouthwestAir again!,TLangemeier76,😳 😴,,,1,,,,,,,1,,,1,
151,Also their last coworker whose name I didn’t get @SouthwestAir,234Seiya,,,,,,,,,,,,,,,
